信贷机构编号,信贷分行名称,信贷支行名称,账务机构,七级分类,台账状态,客户名称,证件号码,客户编号,信贷产品名称（三级）,贷款起始日,贷款终止日,还款方式,利率调整模式,本金逾期天数,利息逾期天数,户籍所在地,客户经理,利率调整方式,借款用途,客户类型,出生年月,月偿还债务,月收入,数据日期,利率加减点,首付款比例,结息方式,贷款余额,贷款期限,展期次数,利率,贷款合同金额,拖欠利息,利率调整周期（月）,首付款金额,欠息累计,表外欠息,表内欠息
ORG0022,咸阳分行,莲湖支行,ACC0022,正常,正常,客户22,610101198001012666,CUST00022,个人经营性贷款,2018-12-25,2038-09-11,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,消费,个人,1980-01-01,10229,42175,2024-12-21,0,30%,按月结息,3876860,240,0,5.43,4783907,0,12,1435172.0999999999,0,0,0
ORG0023,宝鸡分行,雁塔支行,ACC0023,正常,正常,客户23,610101196101015272,CUST00023,个人消费贷款,2021-07-17,2026-06-21,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,13757,38111,2024-12-21,0,30%,按月结息,2373945,60,0,4.12,2959124,0,12,887737.2,0,0,0
ORG0024,西安分行,莲湖支行,ACC0024,关注一,正常,客户24,610101199101015734,CUST00024,信用贷,2018-09-15,2048-04-10,等额本息,固定利率,10,10,陕西省西安市,经理李,按年调整,购房,个人,1980-01-01,3545,26315,2024-12-21,0,30%,按月结息,3997711,360,0,6.26,4224584,8344,12,1267375.2,0,0,2478
ORG0025,汉中分行,高新支行,ACC0025,正常,正常,客户25,610101199901016324,CUST00025,个人住房贷款,2021-04-24,2031-03-03,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,消费,个人,1980-01-01,2104,7961,2024-12-21,0,30%,按月结息,4024924,120,0,3.97,4046760,0,12,1214028.0,0,0,0
ORG0026,宝鸡分行,高新支行,ACC0026,正常,正常,客户26,610101198601017935,CUST00026,个人经营性贷款,2018-05-15,2020-05-04,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,3621,22465,2024-12-21,0,30%,按月结息,3508331,24,0,3.69,4260407,0,12,1278122.0999999999,0,0,0
ORG0027,汉中分行,碑林支行,ACC0027,正常,正常,客户27,610101195901011993,CUST00027,个人住房贷款,2022-03-29,2025-03-13,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,消费,个人,1980-01-01,19238,13694,2024-12-21,0,30%,按月结息,408386,36,0,6.31,1325046,0,12,397513.8,0,0,0
ORG0028,渭南分行,碑林支行,ACC0028,正常,正常,客户28,610101198401012023,CUST00028,个人消费贷款,2020-12-24,2023-12-09,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,12429,18731,2024-12-21,0,30%,按月结息,4669217,36,0,6.17,5066063,0,12,1519818.9,0,0,0
ORG0029,咸阳分行,碑林支行,ACC0029,正常,正常,客户29,610101197401014074,CUST00029,个人经营性贷款,2021-10-15,2022-10-10,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,3949,36613,2024-12-21,0,30%,按月结息,4213098,12,0,3.8,4937090,0,12,1481127.0,0,0,0
ORG0030,汉中分行,雁塔支行,ACC0030,关注一,正常,客户30,610101196401012727,CUST00030,个人经营性贷款,2020-09-22,2025-08-27,等额本息,固定利率,46,46,陕西省西安市,经理李,按年调整,装修,个人,1980-01-01,16878,41512,2024-12-21,0,30%,按月结息,2033410,60,0,5.64,2251780,5753,12,675534.0,0,0,4091
ORG0031,西安分行,碑林支行,ACC0031,正常,正常,客户31,610101196001013939,CUST00031,个人消费贷款,2022-01-18,2025-01-02,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,装修,个人,1980-01-01,5610,16718,2024-12-21,0,30%,按月结息,1923376,36,0,4.86,2762390,0,12,828717.0,0,0,0
ORG0032,宝鸡分行,高新支行,ACC0032,正常,正常,客户32,610101196801019924,CUST00032,装修贷,2021-08-31,2022-08-26,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,16221,28944,2024-12-21,0,30%,按月结息,4822653,12,0,5.58,5744951,0,12,1723485.3,0,0,0
ORG0033,咸阳分行,雁塔支行,ACC0033,正常,正常,客户33,610101197701017953,CUST00033,个人消费贷款,2021-08-31,2024-08-15,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,购房,个人,1980-01-01,18284,33228,2024-12-21,0,30%,按月结息,3857140,36,0,4.61,3898886,0,12,1169665.8,0,0,0
ORG0034,渭南分行,雁塔支行,ACC0034,正常,正常,客户34,610101195601017640,CUST00034,个人经营性贷款,2018-04-23,2019-04-18,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,消费,个人,1980-01-01,8602,5433,2024-12-21,0,30%,按月结息,4810132,12,0,5.39,5367872,0,12,1610361.5999999999,0,0,0
ORG0035,西安分行,莲湖支行,ACC0035,正常,正常,客户35,610101198901018389,CUST00035,个人住房贷款,2023-07-17,2028-06-20,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,6191,43967,2024-12-21,0,30%,按月结息,2798150,60,0,4.85,2845605,0,12,853681.5,0,0,0
ORG0036,汉中分行,雁塔支行,ACC0036,正常,正常,客户36,610101199901013576,CUST00036,装修贷,2018-11-24,2038-08-11,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,19325,8971,2024-12-21,0,30%,按月结息,1376201,240,0,5.92,1942158,0,12,582647.4,0,0,0
ORG0037,渭南分行,雁塔支行,ACC0037,正常,正常,客户37,610101199001016796,CUST00037,个人经营性贷款,2023-03-16,2025-03-05,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,消费,个人,1980-01-01,19458,27579,2024-12-21,0,30%,按月结息,518863,24,0,4.76,533999,0,12,160199.69999999998,0,0,0
ORG0038,西安分行,莲湖支行,ACC0038,正常,正常,客户38,610101196601016197,CUST00038,个人经营性贷款,2021-01-15,2030-11-24,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,10723,8345,2024-12-21,0,30%,按月结息,2630465,120,0,4.21,3029625,0,12,908887.5,0,0,0
ORG0039,汉中分行,雁塔支行,ACC0039,关注二,正常,客户39,610101199101019997,CUST00039,个人消费贷款,2018-09-21,2038-06-08,等额本息,固定利率,74,74,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,5361,34620,2024-12-21,0,30%,按月结息,1790093,240,0,5.87,2372547,7437,12,711764.1,0,0,917
ORG0040,西安分行,经开支行,ACC0040,正常,正常,客户40,610101199901016478,CUST00040,信用贷,2022-04-07,2025-03-22,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,消费,个人,1980-01-01,10579,23197,2024-12-21,0,30%,按月结息,1258188,36,0,3.82,1301370,0,12,390411.0,0,0,0
ORG0041,汉中分行,经开支行,ACC0041,正常,正常,客户41,610101195301016005,CUST00041,装修贷,2023-10-17,2026-10-01,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,消费,个人,1980-01-01,17593,28962,2024-12-21,0,30%,按月结息,1578184,36,0,5.39,1582642,0,12,474792.6,0,0,0
ORG0042,汉中分行,莲湖支行,ACC0042,正常,正常,客户42,610101199001015291,CUST00042,装修贷,2022-01-26,2051-08-22,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,装修,个人,1980-01-01,5117,15699,2024-12-21,0,30%,按月结息,392353,360,0,6.17,744654,0,12,223396.19999999998,0,0,0
ORG0043,渭南分行,高新支行,ACC0043,正常,正常,客户43,610101198201017447,CUST00043,个人经营性贷款,2018-06-04,2023-05-09,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,留学,个人,1980-01-01,3960,22530,2024-12-21,0,30%,按月结息,649998,60,0,4.34,1399911,0,12,419973.3,0,0,0
ORG0044,汉中分行,经开支行,ACC0044,正常,正常,客户44,610101198001013817,CUST00044,信用贷,2020-05-17,2023-05-02,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,经营周转,个人,1980-01-01,3632,33808,2024-12-21,0,30%,按月结息,4929007,36,0,5.95,5593631,0,12,1678089.3,0,0,0
ORG0045,咸阳分行,莲湖支行,ACC0045,关注三,正常,客户45,610101195601011987,CUST00045,信用贷,2020-01-01,2039-09-18,等额本息,固定利率,35,35,陕西省西安市,经理王,按年调整,消费,个人,1980-01-01,3976,35250,2024-12-21,0,30%,按月结息,3832550,240,0,4.35,4261856,2479,12,1278556.8,0,0,2304
ORG0046,咸阳分行,莲湖支行,ACC0046,正常,正常,客户46,610101195901011244,CUST00046,信用贷,2020-11-15,2030-09-24,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,留学,个人,1980-01-01,16169,23205,2024-12-21,0,30%,按月结息,3346954,120,0,5.28,4070125,0,12,1221037.5,0,0,0
ORG0047,咸阳分行,经开支行,ACC0047,正常,正常,客户47,610101195601014243,CUST00047,装修贷,2019-07-31,2022-07-15,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,10854,18719,2024-12-21,0,30%,按月结息,32541,36,0,3.52,724949,0,12,217484.69999999998,0,0,0
ORG0048,咸阳分行,碑林支行,ACC0048,正常,正常,客户48,610101197301015295,CUST00048,个人经营性贷款,2023-05-11,2024-05-05,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,消费,个人,1980-01-01,8260,44660,2024-12-21,0,30%,按月结息,1587895,12,0,3.79,2274428,0,12,682328.4,0,0,0
ORG0049,汉中分行,碑林支行,ACC0049,正常,正常,客户49,610101196901018188,CUST00049,个人住房贷款,2022-01-15,2031-11-24,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,装修,个人,1980-01-01,6694,49260,2024-12-21,0,30%,按月结息,4539132,120,0,4.75,5513577,0,12,1654073.0999999999,0,0,0
ORG0050,渭南分行,雁塔支行,ACC0050,正常,正常,客户50,610101198501013417,CUST00050,个人消费贷款,2018-02-25,2019-02-20,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,购房,个人,1980-01-01,17679,42281,2024-12-21,0,30%,按月结息,2974573,12,0,4.69,3399540,0,12,1019862.0,0,0,0
ORG0051,咸阳分行,莲湖支行,ACC0051,正常,正常,客户51,610101195101015790,CUST00051,个人经营性贷款,2020-07-09,2030-05-18,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,消费,个人,1980-01-01,16686,29570,2024-12-21,0,30%,按月结息,3741804,120,0,4.03,4738653,0,12,1421595.9,0,0,0
ORG0052,汉中分行,高新支行,ACC0052,正常,正常,客户52,610101195601012849,CUST00052,个人住房贷款,2019-04-01,2048-10-25,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,装修,个人,1980-01-01,4337,5632,2024-12-21,0,30%,按月结息,2251896,360,0,6.49,2712516,0,12,813754.7999999999,0,0,0
ORG0053,宝鸡分行,经开支行,ACC0053,次级,正常,客户53,610101195101016771,CUST00053,个人消费贷款,2021-05-29,2023-05-19,等额本息,固定利率,221,221,陕西省西安市,经理王,按年调整,消费,个人,1980-01-01,5192,42322,2024-12-21,0,30%,按月结息,783941,24,0,5.85,1302048,6315,12,390614.39999999997,0,0,1789
ORG0054,宝鸡分行,雁塔支行,ACC0054,正常,正常,客户54,610101199201018490,CUST00054,个人经营性贷款,2021-09-30,2041-06-17,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,购房,个人,1980-01-01,10734,36201,2024-12-21,0,30%,按月结息,1644192,240,0,4.4,2216495,0,12,664948.5,0,0,0
ORG0055,西安分行,雁塔支行,ACC0055,正常,正常,客户55,610101195901013315,CUST00055,装修贷,2022-12-21,2023-12-16,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,留学,个人,1980-01-01,4518,35123,2024-12-21,0,30%,按月结息,616812,12,0,4.61,851535,0,12,255460.5,0,0,0
ORG0056,渭南分行,经开支行,ACC0056,正常,正常,客户56,610101195201013259,CUST00056,个人住房贷款,2023-03-23,2025-03-12,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,消费,个人,1980-01-01,15532,32589,2024-12-21,0,30%,按月结息,2538403,24,0,3.89,2992594,0,12,897778.2,0,0,0
ORG0057,宝鸡分行,莲湖支行,ACC0057,正常,正常,客户57,610101197101014671,CUST00057,信用贷,2021-10-15,2023-10-05,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,经营周转,个人,1980-01-01,8761,47060,2024-12-21,0,30%,按月结息,4575377,24,0,4.23,5305518,0,12,1591655.4,0,0,0
ORG0058,咸阳分行,经开支行,ACC0058,正常,正常,客户58,610101198601019594,CUST00058,个人经营性贷款,2023-03-11,2033-01-17,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,经营周转,个人,1980-01-01,16731,27420,2024-12-21,0,30%,按月结息,3658214,120,0,5.11,3818755,0,12,1145626.5,0,0,0
ORG0059,汉中分行,莲湖支行,ACC0059,正常,正常,客户59,610101196001017408,CUST00059,个人消费贷款,2022-05-15,2042-01-30,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,装修,个人,1980-01-01,18610,30595,2024-12-21,0,30%,按月结息,2962945,240,0,5.01,3720113,0,12,1116033.9,0,0,0
ORG0060,宝鸡分行,碑林支行,ACC0060,关注一,正常,客户60,610101196801013609,CUST00060,个人经营性贷款,2022-03-07,2027-02-09,等额本息,固定利率,46,46,陕西省西安市,经理王,按年调整,装修,个人,1980-01-01,6405,19704,2024-12-21,0,30%,按月结息,4849528,60,0,3.52,5644779,6361,12,1693433.7,0,0,1862
ORG0061,咸阳分行,莲湖支行,ACC0061,正常,正常,客户61,610101195901017406,CUST00061,装修贷,2021-09-29,2051-04-25,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,消费,个人,1980-01-01,5273,20957,2024-12-21,0,30%,按月结息,818497,360,0,6.34,838559,0,12,251567.69999999998,0,0,0
ORG0062,西安分行,雁塔支行,ACC0062,关注三,正常,客户62,610101196101016645,CUST00062,个人消费贷款,2022-12-30,2027-12-04,等额本息,固定利率,14,14,陕西省西安市,经理李,按年调整,装修,个人,1980-01-01,2023,45608,2024-12-21,0,30%,按月结息,2439858,60,0,3.99,3343892,687,12,1003167.6,0,0,4564
ORG0063,渭南分行,碑林支行,ACC0063,正常,正常,客户63,610101198901012207,CUST00063,信用贷,2022-09-22,2025-09-06,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,装修,个人,1980-01-01,18509,20337,2024-12-21,0,30%,按月结息,2825390,36,0,3.72,2870215,0,12,861064.5,0,0,0
ORG0064,汉中分行,雁塔支行,ACC0064,正常,正常,客户64,610101195601017633,CUST00064,信用贷,2018-01-07,2019-12-28,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,8195,9894,2024-12-21,0,30%,按月结息,4443415,24,0,6.14,4948049,0,12,1484414.7,0,0,0
ORG0065,汉中分行,莲湖支行,ACC0065,正常,正常,客户65,610101199401018949,CUST00065,装修贷,2023-06-16,2026-05-31,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,12955,8840,2024-12-21,0,30%,按月结息,2283992,36,0,3.77,2510722,0,12,753216.6,0,0,0
ORG0066,渭南分行,碑林支行,ACC0066,损失,正常,客户66,610101199001017332,CUST00066,个人消费贷款,2021-05-10,2023-04-30,等额本息,固定利率,150,150,陕西省西安市,经理王,按年调整,装修,个人,1980-01-01,5495,31081,2024-12-21,0,30%,按月结息,214134,24,0,5.34,772949,9052,12,231884.69999999998,0,0,2378
ORG0067,西安分行,莲湖支行,ACC0067,正常,正常,客户67,610101195501011111,CUST00067,个人消费贷款,2018-12-09,2019-12-04,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,装修,个人,1980-01-01,5677,8410,2024-12-21,0,30%,按月结息,2018547,12,0,4.1,3013985,0,12,904195.5,0,0,0
ORG0068,咸阳分行,高新支行,ACC0068,正常,正常,客户68,610101197301012936,CUST00068,个人消费贷款,2022-11-24,2052-06-19,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,装修,个人,1980-01-01,6406,35132,2024-12-21,0,30%,按月结息,934770,360,0,4.67,985484,0,12,295645.2,0,0,0
ORG0069,咸阳分行,雁塔支行,ACC0069,正常,正常,客户69,610101196301011806,CUST00069,个人消费贷款,2021-10-26,2022-10-21,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,经营周转,个人,1980-01-01,17020,30138,2024-12-21,0,30%,按月结息,4691899,12,0,4.87,5351673,0,12,1605501.9,0,0,0
ORG0070,咸阳分行,莲湖支行,ACC0070,正常,正常,客户70,610101197601016721,CUST00070,装修贷,2021-12-09,2041-08-26,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,消费,个人,1980-01-01,4587,25573,2024-12-21,0,30%,按月结息,718086,240,0,5.37,1114179,0,12,334253.7,0,0,0
ORG0071,咸阳分行,雁塔支行,ACC0071,正常,正常,客户71,610101196301014284,CUST00071,装修贷,2020-11-04,2040-07-22,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,留学,个人,1980-01-01,8696,23031,2024-12-21,0,30%,按月结息,3081734,240,0,5.01,4000930,0,12,1200279.0,0,0,0
ORG0072,汉中分行,碑林支行,ACC0072,可疑,正常,客户72,610101198401013545,CUST00072,个人住房贷款,2021-08-16,2031-06-25,等额本息,固定利率,229,229,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,14492,45471,2024-12-21,0,30%,按月结息,4990238,120,0,6.01,5541956,2533,12,1662586.8,0,0,1213
ORG0073,汉中分行,碑林支行,ACC0073,关注二,正常,客户73,610101195701016117,CUST00073,信用贷,2023-10-28,2026-10-12,等额本息,固定利率,6,6,陕西省西安市,经理李,按年调整,消费,个人,1980-01-01,10149,9347,2024-12-21,0,30%,按月结息,2778627,36,0,6.0,3296296,7531,12,988888.7999999999,0,0,1464
ORG0074,西安分行,高新支行,ACC0074,正常,正常,客户74,610101197401017833,CUST00074,个人经营性贷款,2022-06-26,2027-05-31,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,消费,个人,1980-01-01,2780,6026,2024-12-21,0,30%,按月结息,1548407,60,0,3.76,1574541,0,12,472362.3,0,0,0
ORG0075,咸阳分行,雁塔支行,ACC0075,正常,正常,客户75,610101196601012350,CUST00075,个人住房贷款,2019-10-17,2021-10-06,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,16970,48102,2024-12-21,0,30%,按月结息,1216859,24,0,4.5,1404641,0,12,421392.3,0,0,0
ORG0076,汉中分行,莲湖支行,ACC0076,可疑,正常,客户76,610101199101019634,CUST00076,个人经营性贷款,2021-10-02,2022-09-27,等额本息,固定利率,776,776,陕西省西安市,经理张,按年调整,购房,个人,1980-01-01,11662,36898,2024-12-21,0,30%,按月结息,2219561,12,0,5.83,3150336,1145,12,945100.7999999999,0,0,1949
ORG0077,宝鸡分行,莲湖支行,ACC0077,正常,正常,客户77,610101199801018933,CUST00077,信用贷,2022-01-04,2022-12-30,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,18937,45778,2024-12-21,0,30%,按月结息,226484,12,0,5.94,826762,0,12,248028.59999999998,0,0,0
ORG0078,宝鸡分行,莲湖支行,ACC0078,正常,正常,客户78,610101197801015210,CUST00078,个人消费贷款,2021-09-30,2051-04-26,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,经营周转,个人,1980-01-01,6835,49633,2024-12-21,0,30%,按月结息,1559169,360,0,6.11,1791081,0,12,537324.2999999999,0,0,0
ORG0079,宝鸡分行,经开支行,ACC0079,正常,正常,客户79,610101195401012747,CUST00079,信用贷,2023-04-17,2026-04-01,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,购房,个人,1980-01-01,12396,31060,2024-12-21,0,30%,按月结息,580040,36,0,4.86,935554,0,12,280666.2,0,0,0
